ステータス,店舗コード,店舗名称,行番号,商品コード,商品分類,商品名,規格,パートナー,数量,入数,発注単価,POS原価,売価,取込番号,HT番号,売価（抜）,保証書対象区分,保証書対象区分名称,発注支援区分,発注支援区分名称
"0","00442","MEGAドン・キホーテ 渋谷本店","1","4570087200830","090103","Otton 琥珀糖　アソート","95g","223725",3,30,374,374,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","2","4570087200960","090125","THE CAT","","223725",2,30,374,374,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","3","4570087201028","090125","パールキャンディ　【レインボー】","","223725",2,20,413,413,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","4","4570087201035","090125","パールキャンディ　【ピンク＆マゼンダ】","","223725",1,20,413,413,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","5","4570087201042","090125","パールキャンディ　【イエロー＆グリーン】","","223725",1,20,413,413,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","6","4570087200809","090103","Otton レインボーコットンキャンディ","50g","223725",1,16,500,500,863,"312171385","010",799,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","7","4570087201363","090103","フリーズドライキャンディ　スキットルズ ","","223725",1,30,373,373,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","8","0016000397002","090105","ロールアップトロピカルタイダイ","140g","223725",5,10,593,593,1079,"312171385","010",999,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","9","0016000189102","090105","ロールアップVT","140g","223725",5,10,593,593,1079,"312171385","010",999,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","10","0016000147119","090105","BC FRU/FBTF/FG VP 8CT","140g","223725",2,8,745,745,1187,"312171385","010",1099,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","11","8809841062244","090105","スウェディッシュキャンディ","","223725",1,120,277,277,431,"312171385","010",399,0,対象外,0,対象外
